Observation,Energy
50001,45.61260989795745
50002,89.99999999999999
50003,46.93946407671431
50004,74.48389681297138
50005,47.47490692922629
50006,59.17764512457437
50007,114.23810724884098
50008,39.579155327251954
50009,248.70718056462732
50010,31.558805545053357
50011,50.0
50012,76.49845340728452
50013,50.30083436077114
50014,50.00000000000001
50015,60.00000000000001
50016,104.51818228135282
50017,60.00000000000001
50018,475.8936015172718
50019,56.713981544635125
50020,65.56092969022623
50021,65.70526080610219
50022,274.8765833795287
50023,110.0
50024,73.75063029037774
50025,54.71139683030656
50026,60.0
50027,276.2954840121435
50028,345.40783126843564
50029,35.755197690046785
50030,50.0
50031,53.199114582217994
50032,85.29365885313501
50033,60.00000000000001
50034,45.529470411819496
50035,163.88006455718445
50036,55.209191001056645
50037,54.59659129376138
50038,50.0
50039,125.76811127885792
50040,34.37015252629477
50041,50.0
50042,51.09595264031864
50043,40.0
50044,206.3554207317139
50045,70.8045983539589
50046,37.63576906025158
50047,50.0
50048,50.0
50049,40.00000000000001
50050,102.05103650380009
50051,104.47865060799076
50052,44.76889649111882
50053,50.0
50054,126.51759641536913
50055,109.57352845737923
50056,44.873167594013864
50057,42.843680325185616
50058,129.3152967951135
50059,50.52840732914181
50060,372.50997972241817
50061,46.2752014604946
50062,50.0
50063,40.0
50064,80.0
50065,30.0
50066,89.38946912352412
50067,254.74749197486435
50068,53.44584319248877
50069,209.9225678196973
50070,60.00000000000001
50071,194.95163695212162
50072,185.7280141962772
50073,146.37070625806277
50074,55.374392381511065
50075,39.31021079933429
50076,54.70253755977698
50077,50.0
50078,95.5927275076923
50079,124.55045853401403
50080,40.922244653497216
50081,64.66567641847725
50082,45.244385817281405
50083,54.40098168174781
50084,44.35296440224409
50085,60.00000000000001
50086,60.0
50087,114.87384988356705
50088,60.0
50089,40.0
50090,167.39806891806117
50091,44.38199605358233
50092,60.51546273317063
50093,207.21278034869678
50094,241.93104589726082
50095,50.00000000000001
50096,46.30115065494688
50097,40.0
50098,34.00410769035376
50099,86.05616249574362
50100,106.62196287176758
50101,23.073120661604108
50102,59.99999999999999
50103,70.0
50104,211.18266518265617
50105,70.77577070275846
50106,49.99999999999999
50107,50.0
50108,133.56321703180586
50109,60.00000000000001
50110,30.0
50111,50.0
50112,130.3531175001816
50113,55.88386247356636
50114,60.0
50115,65.06702444550996
50116,46.99399223863761
50117,60.00000000000001
50118,35.765801491568894
50119,201.00192965711685
50120,97.10559721242122
50121,318.59962869449447
50122,52.940247353694055
50123,60.00000000000001
50124,75.97929137741079
50125,50.00000000000001
50126,303.373909315796
50127,64.4055488000241
50128,40.00000000000001
50129,118.23101524641476
50130,50.0
50131,259.9252137497033
50132,40.32373803476902
50133,50.0
50134,77.50699281114072
50135,60.000000000000014
50136,192.17179881924713
50137,377.7468281351075
50138,60.0
50139,45.40966209300898
50140,47.63403132008336
50141,471.0510653634601
50142,257.2134337127488
50143,49.60062543804405
50144,49.99999999999999
50145,79.99999999999999
50146,45.19815346836277
50147,93.50247422384261
50148,77.71356175027206
50149,87.5429316846959
50150,110.0
50151,328.885002376758
50152,53.668276604521914
50153,90.0
50154,50.0
50155,40.0
50156,62.60434606347027
50157,90.0
50158,81.57247603549754
50159,44.18771058180821
50160,59.99999999999999
50161,56.71875888015931
50162,46.33585210122864
50163,50.0
50164,76.43017337758467
50165,135.70560960208823
50166,98.42033379972779
50167,86.54701745151105
50168,94.87450486298337
50169,45.35631634310324
50170,39.91535346223375
50171,50.0
50172,60.0
50173,49.99999999999999
50174,66.09750761564383
50175,62.3161041471487
50176,130.0
50177,55.91862069015127
50178,45.53633140071702
50179,45.68771187431897
50180,43.10131108265781
50181,234.3538314529261
50182,64.46115117141704
50183,37.44521771688907
50184,55.05245494024344
50185,60.00000000000001
50186,110.0
50187,257.86229401245663
50188,37.36396366636798
50189,70.0
50190,104.43789600442314
50191,68.14874624620064
50192,50.0
50193,50.0
50194,109.86948176457624
50195,54.840106810863816
50196,54.66421002429709
50197,32.76686638109866
50198,128.80618933152664
50199,44.90596172855264
50200,308.18106352060573
50201,55.067772636469115
