portfolio_id,return
PF00001001,0.03185839645536641
PF00001004,0.028572969404203265
PF00001009,0.0327621783026411
PF00001013,0.03241623837038659
PF00001014,0.032517458751548885
PF00001015,0.031525840305323495
PF00001017,0.03252275395834293
PF00001023,0.032712391339207954
PF00001024,0.032408892042284636
PF00001025,0.04128479976703028
PF00001028,0.03148684823520304
PF00001032,0.03272652154763658
PF00001036,0.03261500858828452
PF00001041,0.0306679914672486
PF00001045,0.02851200290547226
PF00001047,0.03267628475369568
PF00001049,0.0325801161538753
PF00001053,0.041223888092570875
PF00001060,0.03244315257417091
PF00001067,0.03221147228353121
PF00001068,0.03177333113767101
PF00001069,0.030967193910831053
PF00001077,0.03258311478398348
PF00001078,0.03195524154253511
PF00001085,0.02845024614246084
PF00001086,0.04129131868114359
PF00001087,0.032190426777975845
PF00001088,0.03265084921919865
PF00001092,0.032401405043338945
PF00001095,0.028590109143084755
PF00001099,0.030227435031347463
PF00001100,0.030180283851667926
PF00001104,0.032719330360792484
PF00001105,0.03201414540849752
PF00001107,0.031619938408367985
PF00001108,0.04058782192181873
PF00001112,0.031512051417397054
PF00001119,0.027949116884374493
PF00001123,0.027852100738579834
PF00001126,0.032075768745705696
PF00001132,0.026078031966771185
PF00001135,0.030879735159709418
PF00001145,0.02738079312233494
PF00001148,0.02935677159480555
PF00001153,0.026681145273928633
PF00001155,0.03952118040403154
PF00001161,0.030840200617976717
PF00001164,0.02676643529467481
PF00001165,0.026997199952740136
PF00001171,0.04039257414640629
PF00001178,0.030299602934600774
PF00001179,0.04301617445443012
PF00001180,0.04032638906268823
PF00001194,0.030603864959625568
PF00001199,0.02830919546636919
PF00001198,0.030991175416182216
PF00001203,0.030576160412133284
PF00001204,0.02693581758467626
PF00001209,0.040230042342829564
PF00001210,0.02651412198198637
PF00001218,0.03008410509709046
PF00001220,0.02833189329442786
PF00001223,0.029511807291391925
PF00001225,0.02659282156612281
PF00001227,0.030537642959737495
PF00001230,0.04018472059101929
PF00001233,0.030145617624514003
PF00001236,0.030128853626397556
PF00001238,0.030137556058721975
PF00001239,0.040099960726895534
PF00001241,0.0401097736886497
PF00001243,0.02643795981490058
PF00001244,0.030797302645159536
PF00001245,0.03899502231797257
PF00001253,0.029601872558674518
PF00001255,0.02683949667557608
PF00001258,0.030698079444375165
PF00001260,0.029930706287636853
PF00001262,0.029919349600055233
PF00001264,0.03062582832487256
PF00001265,0.030329196528720966
PF00001270,0.03890500966282443
PF00001274,0.030451489844643298
PF00001277,0.03017034952039229
PF00001282,0.03034869687075272
PF00001283,0.026725825472165565
PF00001285,0.028899238322815893
PF00001288,0.02916984905083423
PF00001290,0.026296267301604878
PF00001294,0.030298223463568807
PF00001296,0.027757846629064338
PF00001303,0.026376539021469657
PF00001305,0.02996683413357458
PF00001306,0.029963017770604047
PF00001309,0.03003599185329798
PF00001310,0.03050923081859857
PF00001312,0.029795743733664115
PF00001313,0.039774751199339924
PF00001316,0.03050842374635264
PF00001319,0.030318335301982864
PF00001324,0.03056765970421435
PF00001325,0.02847238029462041
PF00001331,0.03060236116718408
PF00001333,0.03982771735637025
PF00001334,0.030202586664215055
PF00001335,0.02623388209783329
PF00001340,0.027926285994979996
PF00001345,0.02634241782582588
PF00001348,0.0398221903250133
PF00001352,0.029960226578829588
PF00001354,0.029228822876462335
PF00001355,0.03139750381253745
PF00001356,0.031436898096590705
PF00001368,0.030609931705219466
PF00001370,0.026920789838181837
PF00001372,0.030145658405289558
PF00001375,0.03054856695144568
PF00001382,0.026489903980575352
PF00001384,0.02995046894060218
PF00001388,0.03013935087751221
PF00001389,0.03037287122549097
PF00001391,0.029850388523333035
PF00001412,0.023958618877298554
PF00001419,0.04077239301965951
PF00001424,0.03027810251497464
PF00001427,0.030947879974362075
PF00001428,0.033607950722695075
PF00001430,0.03233562491852826
PF00001432,0.025837596448291866
PF00001433,0.03201651023756484
PF00001438,0.03248991976679013
PF00001440,0.03280249444003433
PF00001441,0.03174201581723914
PF00001446,0.03189430159513714
PF00001450,0.03211954195301139
PF00001453,0.025371444259836028
PF00001456,0.0315879549348773
PF00001458,0.030953702661539906
PF00001463,0.04124442978353238
PF00001464,0.0316326289373397
PF00001471,0.04109209826775501
