Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1736.442390576452
FDW14,OUT017,1441.0792276957798
NCN55,OUT010,627.5592924935443
FDQ58,OUT017,2495.581720404003
FDY38,OUT027,5741.344124114067
FDH56,OUT046,2005.0535664587233
FDL48,OUT018,666.8792289858493
FDC48,OUT027,2237.1224197914
FDN33,OUT045,1481.5912525966182
FDA36,OUT017,3116.7432078267257
FDT44,OUT017,1932.6490249774617
FDQ56,OUT045,1403.7002770731242
NCC54,OUT019,651.9775275284744
FDU11,OUT049,2004.3746101520292
DRL59,OUT013,774.6420704060918
FDM24,OUT049,2437.356860482595
FDI57,OUT045,2775.436771341732
DRC12,OUT018,2841.2596044251463
NCM42,OUT027,2939.530300025831
FDA46,OUT010,512.2909134706366
FDA31,OUT013,2876.975659420824
NCJ31,OUT035,3712.0786717726573
FDG52,OUT046,813.3640152150907
NCL19,OUT019,351.4715698016106
FDS10,OUT035,3139.4769180877342
FDX22,OUT010,491.7990702150326
NCF19,OUT035,790.5475391180131
NCE06,OUT046,2529.0932630113753
DRC27,OUT046,3676.1987119782075
FDE21,OUT035,1938.0565743758896
NCR42,OUT019,126.85847416527848
FDX51,OUT018,2685.4088106300164
NCR06,OUT018,579.0686362060263
FDU31,OUT027,5597.6519431704255
FDU59,OUT017,2452.423855845079
FDR03,OUT027,5345.0715378114255
FDS49,OUT027,2376.012621200731
FDD48,OUT010,253.59851005263963
NCF18,OUT017,3072.2965617150307
NCD43,OUT027,2758.579396030127
NCD54,OUT018,2029.5685792862373
FDY19,OUT010,276.895694988304
NCY54,OUT017,2755.916538348147
NCL19,OUT018,2028.6465595557406
FDP23,OUT010,544.8785216544397
FDC26,OUT013,1836.9960395098706
FDR14,OUT010,213.13353777935362
NCS41,OUT035,3230.104405317532
FDF41,OUT035,3958.2662850313714
FDU34,OUT046,2063.228579435318
DRH11,OUT046,981.2451528335633
FDM03,OUT013,1777.8327366155145
FDS31,OUT017,3126.211863568676
FDJ20,OUT017,2098.8957502758203
FDV44,OUT027,5161.1209710594885
FDG02,OUT049,3286.7907008823845
FDA09,OUT013,3112.6059865692064
FDT04,OUT013,619.208902806547
FDL58,OUT019,658.1254171362935
FDE52,OUT045,1434.4984965099845
FDW12,OUT035,2438.6871520291243
FDL51,OUT017,3950.112619075636
NCY42,OUT027,3621.891405142629
FDR07,OUT017,1563.2286251088572
FDN40,OUT045,2405.945368861141
FDB35,OUT027,2629.1289228112537
FDA22,OUT017,2563.539250541001
NCL06,OUT046,3864.443678567576
FDI35,OUT013,3148.22472794461
NCW42,OUT045,3530.2544842291168
NCX06,OUT049,3216.9683960035177
FDC37,OUT027,2792.8949396107682
FDZ14,OUT018,1695.2812276580642
DRG49,OUT049,4127.330948829033
NCG06,OUT045,3969.848046054879
DRC36,OUT045,2861.6628585353565
FDV21,OUT019,309.8954563951504
FDB53,OUT046,2452.9187840036393
DRP47,OUT019,611.139420045248
FDA14,OUT013,2479.1523535449946
DRC24,OUT035,2482.92631743669
FDW21,OUT018,1399.6354986833155
NCH29,OUT046,1696.3692000521469
FDU58,OUT013,2963.5241913125374
FDY27,OUT017,2969.489783793397
FDV56,OUT035,1887.444796201617
FDT59,OUT046,3597.5506899999864
FDB23,OUT046,3452.00954347096
FDR49,OUT045,807.8924258733177
FDB03,OUT010,549.1110587283399
FDN39,OUT045,2888.8101898639156
FDX02,OUT027,5635.259881532384
FDQ16,OUT027,2868.5192306184886
FDU35,OUT018,1417.2580322005422
NCT29,OUT013,1962.1068026135981
FDZ27,OUT046,837.3676566735179
FDN57,OUT017,2240.3109665727675
FDA03,OUT018,2049.9543553540884
FDZ36,OUT045,3089.950440756754
NCU05,OUT013,1267.4138237404159
FDT39,OUT018,2202.58657440007
FDK60,OUT017,1605.9235735103734
FDZ25,OUT017,2875.8638490411377
FDG12,OUT046,2164.347990478792
DRB01,OUT019,478.39203863305664
NCC43,OUT027,5870.923698888712
FDX13,OUT019,653.2478815777289
FDM22,OUT049,873.1397291009431
FDJ03,OUT027,1511.994252482407
FDU14,OUT018,3260.2445537779695
FDB33,OUT010,386.9634227044608
FDP27,OUT046,3180.9185289353245
FDO38,OUT010,190.75999062644766
FDE28,OUT027,5756.201287825637
